model	embedding_dim	batch_size	hits_at_1	hits_at_3	hits_at_10	mr	mrr
TransE	256	128	0.0	0.0	0.0024630541871921183	1317.978271484375	0.0027418320532888174
TransE	256	256	0.0	0.0049261083743842365	0.007389162561576354	1329.900634765625	0.004478268790990114
TransE	256	512	0.0	0.0	0.0016420361247947454	1327.9683837890625	0.0021643294021487236
TransE	512	128	0.0	0.0024630541871921183	0.008210180623973728	1373.1033935546875	0.0038151452317833896
TransE	512	256	0.0	0.0024630541871921183	0.0049261083743842365	1330.4051513671875	0.003240902675315738
TransE	512	512	0.0	0.0	0.0024630541871921183	1371.04150390625	0.0022760622669011354
TransE	1024	128	0.0	0.0	0.0016420361247947454	1326.029541015625	0.002198294270783663
TransE	1024	256	0.0	0.0008210180623973727	0.004105090311986864	1344.339111328125	0.002912916475906968
TransE	1024	512	0.0	0.0008210180623973727	0.003284072249589491	1358.2894287109375	0.002923558233305812
DistMult	256	128	0.0	0.0008210180623973727	0.0016420361247947454	1394.6412353515625	0.002155544003471732
DistMult	256	256	0.0016420361247947454	0.0016420361247947454	0.003284072249589491	1364.957275390625	0.004071170464158058
DistMult	256	512	0.0	0.0	0.0016420361247947454	1359.635498046875	0.002307330025359988
DistMult	512	128	0.0	0.0008210180623973727	0.004105090311986864	1332.385009765625	0.003026003250852227
DistMult	512	256	0.0	0.0016420361247947454	0.003284072249589491	1322.153564453125	0.002711096778512001
DistMult	512	512	0.0	0.0	0.004105090311986864	1334.9228515625	0.0028406509663909674
DistMult	1024	128	0.0	0.0	0.0016420361247947454	1370.025390625	0.0020766742527484894
DistMult	1024	256	0.0	0.0	0.0008210180623973727	1364.32763671875	0.002115756506100297
DistMult	1024	512	0.0	0.0	0.0024630541871921183	1411.042724609375	0.0020817278418689966
